File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A2_061_LST_Day_1km_doy2019361000000_aid0001,LST_Day_1km,aid0001,2019-12-27,7744.0,296.34,310.16,"(296.34,310.16)",302.7236364,1.8937179,3.5861677,303.82,307.78,302.54,298.2,301.18
MOD11A2_061_LST_Day_1km_doy2020001000000_aid0001,LST_Day_1km,aid0001,2020-01-01,7745.0,293.4,307.62,"(293.4,307.62)",299.8045449,2.1625826,4.6767634,301.18,305.5,299.6,294.1,298.24
MOD11A2_061_LST_Day_1km_doy2020009000000_aid0001,LST_Day_1km,aid0001,2020-01-09,7578.0,282.48,308.28,"(282.48,308.28)",300.9093244,2.700138,7.2907452,302.58,307.1,301.0,295.04,299.56
MOD11A2_061_LST_Day_1km_doy2020017000000_aid0001,LST_Day_1km,aid0001,2020-01-17,7746.0,297.4,305.08,"(297.4,305.08)",300.2200955,1.4841998,2.2028491,301.38,305.08,300.28,297.4,298.8
MOD11A2_061_LST_Day_1km_doy2020025000000_aid0001,LST_Day_1km,aid0001,2020-01-25,7754.0,298.98,309.46,"(298.98,309.46)",303.1570518,2.2649819,5.1301432,304.88,309.46,303.23,298.98,301.02
MOD11A2_061_LST_Day_1km_doy2020033000000_aid0001,LST_Day_1km,aid0001,2020-02-02,7657.0,293.72,310.3,"(293.72,310.3)",302.5655766,2.3557107,5.5493731,304.5,310.3,302.28,294.68,300.56
MOD11A2_061_LST_Day_1km_doy2020041000000_aid0001,LST_Day_1km,aid0001,2020-02-10,7668.0,295.4,303.66,"(295.4,303.66)",299.5825665,1.333576,1.7784249,300.6,303.66,299.74,295.4,298.42
MOD11A2_061_LST_Day_1km_doy2020049000000_aid0001,LST_Day_1km,aid0001,2020-02-18,7302.0,290.74,314.08,"(290.74,314.08)",304.1974555,3.8388878,14.7370594,307.0,314.08,303.98,292.86,301.12
MOD11A2_061_LST_Day_1km_doy2020057000000_aid0001,LST_Day_1km,aid0001,2020-02-26,5600.0,292.28,313.36,"(292.28,313.36)",303.0604286,2.9829127,8.8977684,304.98,310.92,303.32,295.1,301.02
MOD11A2_061_LST_Day_1km_doy2020065000000_aid0001,LST_Day_1km,aid0001,2020-03-05,1850.0,290.16,307.52,"(290.16,307.52)",301.4471459,2.507405,6.28708,302.84,306.96,301.24,296.18,300.065
MOD11A2_061_LST_Day_1km_doy2020073000000_aid0001,LST_Day_1km,aid0001,2020-03-13,1502.0,293.7,305.56,"(293.7,305.56)",300.7281491,1.7579239,3.0902963,301.8,304.78,301.04,296.8,299.8
MOD11A2_061_LST_Day_1km_doy2020081000000_aid0001,LST_Day_1km,aid0001,2020-03-21,1893.0,292.06,312.92,"(292.06,312.92)",305.5488854,2.9148303,8.4962357,307.14,311.18,305.7,300.76,304.44
MOD11A2_061_LST_Day_1km_doy2020089000000_aid0001,LST_Day_1km,aid0001,2020-03-29,7573.0,296.08,313.3,"(296.08,313.3)",305.326127,1.7841471,3.1831807,306.48,310.04,305.12,300.6,304.1
MOD11A2_061_LST_Day_1km_doy2020097000000_aid0001,LST_Day_1km,aid0001,2020-04-06,6036.0,293.7,312.92,"(293.7,312.92)",303.0228529,2.047039,4.1903689,304.3,308.4,302.78,298.14,301.56
MOD11A2_061_LST_Day_1km_doy2020105000000_aid0001,LST_Day_1km,aid0001,2020-04-14,1476.0,293.96,317.02,"(293.96,317.02)",306.4271003,4.0726597,16.5865566,308.825,314.62,306.8,298.96,304.875
MOD11A2_061_LST_Day_1km_doy2020113000000_aid0001,LST_Day_1km,aid0001,2020-04-22,5856.0,294.9,312.16,"(294.9,312.16)",303.3735212,1.7455653,3.0469983,304.2,307.1,303.16,299.46,302.26
MOD11A2_061_LST_Day_1km_doy2020121000000_aid0001,LST_Day_1km,aid0001,2020-04-30,3890.0,286.82,313.68,"(286.82,313.68)",304.496401,2.7639244,7.6392779,305.68,309.12,304.54,299.94,303.38
MOD11A2_061_LST_Day_1km_doy2020129000000_aid0001,LST_Day_1km,aid0001,2020-05-08,3754.0,295.16,313.52,"(295.16,313.52)",303.6053703,2.0625906,4.25428,304.6,307.82,303.3,299.18,302.42
MOD11A2_061_LST_Day_1km_doy2020137000000_aid0001,LST_Day_1km,aid0001,2020-05-16,991.0,296.04,310.32,"(296.04,310.32)",302.4264379,2.288092,5.2353648,303.54,307.14,302.16,297.62,301.13
MOD11A2_061_LST_Day_1km_doy2020145000000_aid0001,LST_Day_1km,aid0001,2020-05-24,809.0,286.24,305.84,"(286.24,305.84)",301.0286279,1.9224586,3.6958469,302.04,303.88,301.36,298.04,300.36
MOD11A2_061_LST_Day_1km_doy2020153000000_aid0001,LST_Day_1km,aid0001,2020-06-01,2795.0,282.7,312.76,"(282.7,312.76)",302.6717281,2.8901316,8.3528609,303.38,306.36,302.42,298.38,301.38
MOD11A2_061_LST_Day_1km_doy2020161000000_aid0001,LST_Day_1km,aid0001,2020-06-09,319.0,291.68,301.36,"(291.68,301.36)",298.0448903,2.246025,5.0446281,299.52,301.36,298.58,293.28,297.02
MOD11A2_061_LST_Day_1km_doy2020169000000_aid0001,LST_Day_1km,aid0001,2020-06-17,212.0,278.9,302.58,"(278.9,302.58)",297.225283,3.9152549,15.3292211,300.22,302.58,297.83,288.48,295.4
MOD11A2_061_LST_Day_1km_doy2020177000000_aid0001,LST_Day_1km,aid0001,2020-06-25,1560.0,282.18,306.1,"(282.18,306.1)",299.8356923,2.0819062,4.3343332,300.86,303.32,300.06,296.56,299.12
MOD11A2_061_LST_Day_1km_doy2020185000000_aid0001,LST_Day_1km,aid0001,2020-07-03,388.0,297.06,303.58,"(297.06,303.58)",301.1094845,1.1725753,1.3749327,301.92,303.58,301.2,298.52,300.515
MOD11A2_061_LST_Day_1km_doy2020193000000_aid0001,LST_Day_1km,aid0001,2020-07-11,323.0,280.68,300.42,"(280.68,300.42)",296.9211146,2.6717235,7.1381065,298.38,300.42,297.24,293.44,296.2
MOD11A2_061_LST_Day_1km_doy2020201000000_aid0001,LST_Day_1km,aid0001,2020-07-19,1101.0,282.5,306.08,"(282.5,306.08)",299.2689918,2.1355521,4.5605829,300.42,303.62,299.6,295.12,298.28
MOD11A2_061_LST_Day_1km_doy2020209000000_aid0001,LST_Day_1km,aid0001,2020-07-27,129.0,294.84,298.7,"(294.84,298.7)",296.4933333,1.0127079,1.0255773,296.7,297.78,296.22,294.84,295.94
MOD11A2_061_LST_Day_1km_doy2020217000000_aid0001,LST_Day_1km,aid0001,2020-08-04,5853.0,275.84,308.62,"(275.84,308.62)",300.0324654,1.8409925,3.3892534,300.78,303.06,300.02,296.98,299.26
MOD11A2_061_LST_Day_1km_doy2020225000000_aid0001,LST_Day_1km,aid0001,2020-08-12,3277.0,294.74,302.52,"(294.74,302.52)",299.1607629,1.1884101,1.4123186,299.94,302.0,299.3,296.3,298.46
MOD11A2_061_LST_Day_1km_doy2020233000000_aid0001,LST_Day_1km,aid0001,2020-08-20,2573.0,293.24,309.0,"(293.24,309.0)",300.773424,2.3322997,5.4396219,302.38,307.3,301.08,294.22,299.08
MOD11A2_061_LST_Day_1km_doy2020241000000_aid0001,LST_Day_1km,aid0001,2020-08-28,994.0,290.7,307.84,"(290.7,307.84)",300.0633803,2.1078042,4.4428385,301.175,304.28,300.09,295.98,299.08
MOD11A2_061_LST_Day_1km_doy2020249000000_aid0001,LST_Day_1km,aid0001,2020-09-05,504.0,294.48,304.9,"(294.48,304.9)",298.4742857,1.9618057,3.8486816,299.58,302.6,298.34,294.6,297.56
MOD11A2_061_LST_Day_1km_doy2020257000000_aid0001,LST_Day_1km,aid0001,2020-09-13,281.0,296.58,305.76,"(296.58,305.76)",300.8619929,1.487323,2.2121298,301.62,304.36,300.98,297.02,299.76
MOD11A2_061_LST_Day_1km_doy2020265000000_aid0001,LST_Day_1km,aid0001,2020-09-21,504.0,296.76,304.78,"(296.76,304.78)",300.3627778,1.2022592,1.4454272,300.92,302.86,300.26,297.74,299.62
MOD11A2_061_LST_Day_1km_doy2020273000000_aid0001,LST_Day_1km,aid0001,2020-09-29,494.0,286.6,304.74,"(286.6,304.74)",298.9403644,2.4072392,5.7948007,300.52,304.32,299.25,294.16,297.725
MOD11A2_061_LST_Day_1km_doy2020281000000_aid0001,LST_Day_1km,aid0001,2020-10-07,731.0,284.42,306.78,"(284.42,306.78)",301.2340903,2.1205015,4.4965265,302.52,305.82,301.26,297.38,300.2
MOD11A2_061_LST_Day_1km_doy2020289000000_aid0001,LST_Day_1km,aid0001,2020-10-15,1330.0,295.24,310.2,"(295.24,310.2)",301.2633534,1.4788274,2.1869304,302.1,304.14,301.42,297.94,300.42
MOD11A2_061_LST_Day_1km_doy2020297000000_aid0001,LST_Day_1km,aid0001,2020-10-23,3555.0,294.42,307.94,"(294.42,307.94)",302.2701153,1.6250287,2.6407182,303.38,306.0,302.64,298.36,301.36
MOD11A2_061_LST_Day_1km_doy2020305000000_aid0001,LST_Day_1km,aid0001,2020-10-31,749.0,298.54,303.0,"(298.54,303.0)",300.8182911,0.9496529,0.9018406,301.54,303.0,300.82,298.54,300.18
MOD11A2_061_LST_Day_1km_doy2020313000000_aid0001,LST_Day_1km,aid0001,2020-11-08,2833.0,285.42,310.92,"(285.42,310.92)",300.5765267,3.1182465,9.7234613,301.8,306.02,300.32,294.76,298.98
MOD11A2_061_LST_Day_1km_doy2020321000000_aid0001,LST_Day_1km,aid0001,2020-11-16,2043.0,291.68,303.9,"(291.68,303.9)",299.9703182,1.2614012,1.5911331,300.76,302.82,300.24,297.24,299.34
